"embedding","method","max_score"
"doc2vec","LogisticRegression",0.997488523267306
"doc2vec","AdaBoostClassifier",0.665777338737641
"doc2vec","RandomForestClassifier",0.94
"doc2vec","GradientBoostingClassifier",0.976648273879179
"tfidf","GradientBoostingClassifier",0.989732196600799
"tfidf","RandomForestClassifier",0.96
"tfidf","LogisticRegression",0.996692182830026
"tfidf","AdaBoostClassifier",0.637735474529385
"transformer","RandomForestClassifier",0.927
"transformer","LogisticRegression",0.997045159699957
"transformer","GradientBoostingClassifier",0.972165508231434
"transformer","AdaBoostClassifier",0.638730394638577
